Platform,PostType,PostContent,PostTimestamp,Date,WeekdayType,Time,TimePeriods,Likes,Comments,Shares,Impressions,Reach, EngagementRate ,AudienceAge,AgeGroup
LinkedIn,Video,Nothing fish determine.,3/7/2024 15:57,3/7/2024 (Thursday),Weekday,15:57:55,Afternoon,939,332,42,4621,1974,24.27,29,Adolescent Adults
Facebook,Link,Young stay everybody owner.,3/7/2024 15:45,3/7/2024 (Thursday),Weekday,15:45:10,Afternoon,736,116,40,9540,4244,36.46,44,Mature Adults
Twitter,Image,Nothing exactly nation hard sit.,3/7/2024 15:29,3/7/2024 (Thursday),Weekday,15:29:44,Afternoon,983,454,49,3659,1386,27.21,59,Senior Adults
LinkedIn,Link,But fire situation simply none gas.,3/7/2024 15:24,3/7/2024 (Thursday),Weekday,15:24:19,Afternoon,268,48,54,5450,4603,35.19,44,Mature Adults
Twitter,Image,Poor customer lawyer.,3/7/2024 15:21,3/7/2024 (Thursday),Weekday,15:21:02,Afternoon,521,441,12,6950,3207,43.5,50,Senior Adults
Facebook,Link,Word perhaps later arrive strong allow with everybody.,3/7/2024 14:33,3/7/2024 (Thursday),Weekday,14:33:21,Afternoon,452,102,117,3770,2102,24.95,51,Senior Adults
Facebook,Link,Range will firm wait dog.,3/7/2024 14:09,3/7/2024 (Thursday),Weekday,14:09:43,Afternoon,129,170,68,6629,841,42.06,40,Mature Adults
Instagram,Video,Cup network instead good trouble enjoy.,3/7/2024 13:28,3/7/2024 (Thursday),Weekday,13:28:19,Afternoon,164,298,200,2472,1168,30.26,19,Adolescent Adults
Facebook,Video,Back out both.,3/7/2024 13:18,3/7/2024 (Thursday),Weekday,13:18:35,Afternoon,595,479,26,6180,4506,37.6,46,Senior Adults
Facebook,Video,Network focus option good page somebody.,3/7/2024 12:23,3/7/2024 (Thursday),Weekday,12:23:34,Afternoon,255,22,166,7242,1177,30.15,44,Mature Adults
LinkedIn,Video,Force join machine.,3/7/2024 11:55,3/7/2024 (Thursday),Weekday,11:55:09,Morning,213,451,13,4637,2051,51.61,49,Senior Adults
Facebook,Link,Management method chance because want bill reality.,3/7/2024 11:53,3/7/2024 (Thursday),Weekday,11:53:39,Morning,322,430,27,4647,732,11.06,18,Adolescent Adults
LinkedIn,Image,Appear environmental between any might east.,3/7/2024 11:41,3/7/2024 (Thursday),Weekday,11:41:51,Morning,352,402,157,4683,3358,34.76,38,Mature Adults
Facebook,Video,Investment huge message upon job right quality.,3/7/2024 11:01,3/7/2024 (Thursday),Weekday,11:01:56,Morning,400,392,21,4629,4294,7.54,37,Mature Adults
Twitter,Link,Statement address office many.,3/7/2024 10:47,3/7/2024 (Thursday),Weekday,10:47:12,Morning,31,233,53,5277,4704,22.4,21,Adolescent Adults
LinkedIn,Image,Whatever I necessary least work suggest image.,3/7/2024 10:41,3/7/2024 (Thursday),Weekday,10:41:23,Morning,276,424,113,6526,1585,20.31,45,Mature Adults
Instagram,Image,Maybe avoid all future hospital letter home.,3/7/2024 10:24,3/7/2024 (Thursday),Weekday,10:24:23,Morning,395,51,102,4314,3495,34.92,38,Mature Adults
LinkedIn,Video,This page ahead.,3/7/2024 10:15,3/7/2024 (Thursday),Weekday,10:15:02,Morning,933,452,0,8875,3548,124.97,53,Senior Adults
LinkedIn,Video,You person news pressure show page.,3/7/2024 9:51,3/7/2024 (Thursday),Weekday,9:51:06,Morning,725,454,104,6209,4898,48.48,55,Senior Adults
Twitter,Video,Career financial contain road federal sure Congress.,3/7/2024 9:35,3/7/2024 (Thursday),Weekday,9:35:01,Morning,442,190,163,4411,3681,13,37,Mature Adults
Instagram,Link,Herself outside chair meeting involve mind let.,3/7/2024 9:29,3/7/2024 (Thursday),Weekday,9:29:26,Morning,713,115,23,5083,1239,16.88,58,Senior Adults
LinkedIn,Image,Peace shoulder cost.,3/7/2024 9:12,3/7/2024 (Thursday),Weekday,9:12:16,Morning,276,199,143,7642,4124,28.61,43,Mature Adults
Facebook,Video,Service party store eight world identify.,3/7/2024 9:06,3/7/2024 (Thursday),Weekday,9:06:59,Morning,132,101,64,8427,4054,16.49,59,Senior Adults
LinkedIn,Video,Successful design stock.,3/7/2024 9:03,3/7/2024 (Thursday),Weekday,9:03:29,Morning,889,134,142,6030,561,25.64,21,Adolescent Adults
Facebook,Video,Important ok this cold newspaper film hospital understand.,3/7/2024 8:50,3/7/2024 (Thursday),Weekday,8:50:45,Morning,915,362,2,7353,1632,11.22,23,Adolescent Adults
Facebook,Link,Agent do common good share.,3/7/2024 8:37,3/7/2024 (Thursday),Weekday,8:37:50,Morning,854,420,137,9185,4874,32.02,28,Adolescent Adults
Twitter,Image,Never surface same whose environment accept.,3/7/2024 8:22,3/7/2024 (Thursday),Weekday,8:22:55,Morning,808,5,47,4096,3398,17.41,61,Senior Adults
Instagram,Link,By challenge pass to sometimes share.,3/7/2024 8:07,3/7/2024 (Thursday),Weekday,8:07:35,Morning,255,22,30,3643,2073,32.4,21,Adolescent Adults
Instagram,Video,Individual woman treatment people century.,3/7/2024 7:37,3/7/2024 (Thursday),Weekday,7:37:57,Morning,574,241,3,3879,1342,52.27,36,Mature Adults
Twitter,Video,Each occur similar suddenly sound.,3/7/2024 7:27,3/7/2024 (Thursday),Weekday,7:27:51,Morning,859,188,110,9408,3495,45.75,27,Adolescent Adults
Facebook,Image,Remember improve finally blue change market account.,3/7/2024 6:59,3/7/2024 (Thursday),Weekday,6:59:33,Morning,638,39,178,3254,785,43.35,59,Senior Adults
Facebook,Link,Least almost bar at your girl successful language.,3/7/2024 6:46,3/7/2024 (Thursday),Weekday,6:46:40,Morning,464,127,195,6672,2498,38.25,31,Mature Adults
Facebook,Video,Enough government without either value lead.,3/7/2024 6:39,3/7/2024 (Thursday),Weekday,6:39:01,Morning,455,68,114,3723,3279,133.37,50,Senior Adults
LinkedIn,Image,Party property almost executive while for top.,3/7/2024 6:34,3/7/2024 (Thursday),Weekday,6:34:36,Morning,949,165,4,7642,4035,57.79,40,Mature Adults
Twitter,Link,Deal language beat lot behavior.,3/7/2024 6:34,3/7/2024 (Thursday),Weekday,6:34:09,Morning,998,330,69,9334,3526,80.07,19,Adolescent Adults
Facebook,Image,Low evidence allow rock network provide sound significant.,3/7/2024 6:27,3/7/2024 (Thursday),Weekday,6:27:14,Morning,103,301,99,4749,3271,41.6,39,Mature Adults
Instagram,Link,Evening accept factor happy whether.,3/7/2024 6:21,3/7/2024 (Thursday),Weekday,6:21:20,Morning,146,201,117,5176,2785,26.42,22,Adolescent Adults
Instagram,Image,Reality nature bill science.,3/7/2024 6:16,3/7/2024 (Thursday),Weekday,6:16:23,Morning,438,124,35,8236,711,97.85,23,Adolescent Adults
LinkedIn,Image,Put reality card while.,3/7/2024 6:08,3/7/2024 (Thursday),Weekday,6:08:55,Morning,221,59,16,4887,2250,72.69,43,Mature Adults
Instagram,Link,Bad difficult believe miss purpose through.,3/7/2024 5:19,3/7/2024 (Thursday),Weekday,5:19:15,Night,125,9,66,4923,3513,49.92,38,Mature Adults
LinkedIn,Image,Analysis art ahead sure fly plant sense argue.,3/7/2024 5:16,3/7/2024 (Thursday),Weekday,5:16:08,Night,297,427,182,5839,2795,66.51,38,Mature Adults
Facebook,Image,Treat current age center test run.,3/7/2024 5:12,3/7/2024 (Thursday),Weekday,5:12:30,Night,410,481,58,8622,1901,21.02,45,Mature Adults
Instagram,Video,Break production send year response field notice another.,3/7/2024 5:06,3/7/2024 (Thursday),Weekday,5:06:09,Night,374,376,123,6557,2142,107.22,34,Mature Adults
LinkedIn,Link,Fund before lawyer child culture impact can.,3/7/2024 4:38,3/7/2024 (Thursday),Weekday,4:38:50,Night,301,126,27,8432,2641,8.04,64,Senior Adults
Twitter,Image,Learn message strong.,3/7/2024 4:36,3/7/2024 (Thursday),Weekday,4:36:55,Night,364,79,8,5558,4054,30.37,57,Senior Adults
Facebook,Image,One staff capital though choice note chance.,3/7/2024 4:31,3/7/2024 (Thursday),Weekday,4:31:06,Night,905,461,108,4663,3016,31.92,29,Adolescent Adults
Instagram,Link,Market effect that data word throw.,3/7/2024 4:25,3/7/2024 (Thursday),Weekday,4:25:00,Night,16,239,152,8074,987,43.64,25,Adolescent Adults
Facebook,Image,Focus wall think manage kind environment place free.,3/7/2024 4:14,3/7/2024 (Thursday),Weekday,4:14:11,Night,156,476,199,7151,4866,56.68,34,Mature Adults
LinkedIn,Image,Home parent certainly car carry discover.,3/7/2024 4:06,3/7/2024 (Thursday),Weekday,4:06:08,Night,651,374,168,2164,1463,24.41,34,Mature Adults
Instagram,Link,Once board whom over add.,3/7/2024 3:47,3/7/2024 (Thursday),Weekday,3:47:08,Night,169,408,193,4686,2669,37.64,27,Adolescent Adults
Facebook,Link,Think song along bank want science.,3/7/2024 3:25,3/7/2024 (Thursday),Weekday,3:25:13,Night,893,61,195,1534,1313,33.01,41,Mature Adults
Facebook,Image,Arm music win face agency maintain particularly.,3/7/2024 2:55,3/7/2024 (Thursday),Weekday,2:55:40,Night,896,446,159,4839,2980,106.42,48,Senior Adults
Instagram,Link,Toward city again whole establish east generation point.,3/7/2024 2:37,3/7/2024 (Thursday),Weekday,2:37:43,Night,847,302,97,3341,1236,27.13,52,Senior Adults
Instagram,Video,Military beautiful quality official cell carry rule also.,3/7/2024 2:22,3/7/2024 (Thursday),Weekday,2:22:15,Night,92,336,79,2184,1767,18.93,55,Senior Adults
Twitter,Image,Subject develop win we.,3/7/2024 2:00,3/7/2024 (Thursday),Weekday,2:00:07,Night,726,111,20,5764,1677,6.74,33,Mature Adults
Instagram,Link,Nice young strong road.,3/7/2024 1:48,3/7/2024 (Thursday),Weekday,1:48:27,Night,206,25,31,6692,507,51.29,64,Senior Adults
LinkedIn,Link,Bit or however also majority.,3/7/2024 1:38,3/7/2024 (Thursday),Weekday,1:38:14,Night,345,103,51,9252,2675,15.68,47,Senior Adults
Instagram,Image,Doctor learn bar kid appear.,3/7/2024 1:19,3/7/2024 (Thursday),Weekday,1:19:12,Night,362,24,95,6910,2919,39.04,44,Mature Adults
Twitter,Video,Help travel interview address finally way house.,3/7/2024 1:16,3/7/2024 (Thursday),Weekday,1:16:39,Night,639,250,94,5043,4690,26.19,61,Senior Adults
Facebook,Link,Democrat machine enter edge resource.,3/7/2024 1:14,3/7/2024 (Thursday),Weekday,1:14:52,Night,196,418,143,5403,1302,21.6,54,Senior Adults
Twitter,Video,Interest child when suggest.,3/7/2024 0:32,3/7/2024 (Thursday),Weekday,0:32:08,Night,87,106,26,5214,3453,68.68,51,Senior Adults
LinkedIn,Video,Mouth though it.,3/7/2024 0:25,3/7/2024 (Thursday),Weekday,0:25:13,Night,91,198,97,4958,3667,14.99,23,Adolescent Adults
Facebook,Image,Explain total fear Mrs full.,3/6/2024 23:58,3/6/2024 (Wednesday),Weekday,23:58:45,Night,863,25,196,7625,3010,7.33,45,Mature Adults
Instagram,Image,Pressure life take black state democratic girl.,3/6/2024 23:48,3/6/2024 (Wednesday),Weekday,23:48:31,Night,123,283,113,4881,1071,207.66,50,Senior Adults
Facebook,Link,Young even under.,3/6/2024 23:35,3/6/2024 (Wednesday),Weekday,23:35:34,Night,518,240,197,2823,1940,78.37,22,Adolescent Adults
Instagram,Image,Sea owner question would exactly hear think.,3/6/2024 23:28,3/6/2024 (Wednesday),Weekday,23:28:11,Night,171,68,149,3116,2364,28.95,55,Senior Adults
Instagram,Video,Season song carry shake.,3/6/2024 22:20,3/6/2024 (Wednesday),Weekday,22:20:41,Night,159,209,116,6888,1191,25.31,33,Mature Adults
Facebook,Image,Foreign effort factor then.,3/6/2024 21:45,3/6/2024 (Wednesday),Weekday,21:45:51,Evening,945,323,137,6410,4338,14.81,26,Adolescent Adults
Instagram,Link,Teacher against without defense each discover.,3/6/2024 21:17,3/6/2024 (Wednesday),Weekday,21:17:28,Evening,287,279,16,5248,2816,60.95,23,Adolescent Adults
Twitter,Image,Sit executive magazine.,3/6/2024 20:58,3/6/2024 (Wednesday),Weekday,20:58:50,Evening,804,418,0,5538,4756,33.1,39,Mature Adults
Twitter,Link,Senior growth pay son million yes of common.,3/6/2024 20:58,3/6/2024 (Wednesday),Weekday,20:58:45,Evening,645,365,11,9795,1558,108.92,25,Adolescent Adults
Twitter,Link,Effect second loss next window fly idea.,3/6/2024 20:57,3/6/2024 (Wednesday),Weekday,20:57:40,Evening,244,253,198,5676,3451,31.47,43,Mature Adults
Twitter,Video,Plant wonder tell protect.,3/6/2024 20:39,3/6/2024 (Wednesday),Weekday,20:39:45,Evening,748,218,17,5940,4353,19.43,36,Mature Adults
Twitter,Image,Research pay local news all.,3/6/2024 20:33,3/6/2024 (Wednesday),Weekday,20:33:38,Evening,759,485,33,5819,2555,27.71,33,Mature Adults
LinkedIn,Image,Detail society how road area table picture.,3/6/2024 20:26,3/6/2024 (Wednesday),Weekday,20:26:48,Evening,471,241,101,6821,2148,39.62,28,Adolescent Adults
Twitter,Video,Wonder whom individual story.,3/6/2024 19:58,3/6/2024 (Wednesday),Weekday,19:58:32,Evening,536,358,70,1694,547,15.38,47,Senior Adults
Facebook,Link,List authority audience life responsibility.,3/6/2024 19:25,3/6/2024 (Wednesday),Weekday,19:25:00,Evening,858,281,74,5701,2137,16.66,62,Senior Adults
LinkedIn,Link,Wind bill behavior.,3/6/2024 19:20,3/6/2024 (Wednesday),Weekday,19:20:24,Evening,5,405,83,4412,2404,83.97,60,Senior Adults
Instagram,Link,House down firm stock.,3/6/2024 18:56,3/6/2024 (Wednesday),Weekday,18:56:24,Evening,513,2,36,9294,900,13.16,23,Adolescent Adults
Facebook,Image,Event rise security senior day set.,3/6/2024 18:40,3/6/2024 (Wednesday),Weekday,18:40:54,Evening,127,205,76,3075,2587,5.69,25,Adolescent Adults
Twitter,Link,Senior past official college role adult edge like.,3/6/2024 18:33,3/6/2024 (Wednesday),Weekday,18:33:45,Evening,399,56,5,3210,2599,32.42,19,Adolescent Adults
Facebook,Image,Start name traditional use artist.,3/6/2024 18:08,3/6/2024 (Wednesday),Weekday,18:08:35,Evening,663,293,171,9923,1209,49.92,22,Adolescent Adults
Twitter,Link,Rock firm assume language.,3/6/2024 17:58,3/6/2024 (Wednesday),Weekday,17:58:25,Afternoon,988,269,198,3577,3285,40.76,47,Senior Adults
Twitter,Image,Camera part heavy among child share.,3/6/2024 17:56,3/6/2024 (Wednesday),Weekday,17:56:12,Afternoon,745,143,194,9038,4579,17.19,63,Senior Adults
Facebook,Image,Candidate garden five page avoid could.,3/6/2024 17:54,3/6/2024 (Wednesday),Weekday,17:54:56,Afternoon,908,284,121,2438,1142,11.12,65,Senior Adults
LinkedIn,Image,Account politics world bank.,3/6/2024 17:51,3/6/2024 (Wednesday),Weekday,17:51:49,Afternoon,48,204,11,8986,2344,48.87,47,Senior Adults
Twitter,Video,Cut politics hair.,3/6/2024 17:41,3/6/2024 (Wednesday),Weekday,17:41:52,Afternoon,470,248,88,5337,698,41.24,24,Adolescent Adults
Instagram,Image,Person letter little white.,3/6/2024 17:05,3/6/2024 (Wednesday),Weekday,17:05:25,Afternoon,734,8,91,9078,2302,17.08,44,Mature Adults
LinkedIn,Video,None man such resource else.,3/6/2024 17:05,3/6/2024 (Wednesday),Weekday,17:05:10,Afternoon,915,42,40,4289,635,81.54,39,Mature Adults
Twitter,Image,Sit case discover interview eat author believe.,3/6/2024 16:58,3/6/2024 (Wednesday),Weekday,16:58:18,Afternoon,775,271,38,3260,1668,28.85,61,Senior Adults
Twitter,Image,We race business trouble campaign certainly.,3/6/2024 16:02,3/6/2024 (Wednesday),Weekday,16:02:56,Afternoon,396,223,84,6994,3280,87.51,41,Mature Adults
Twitter,Video,Light accept decision grow air.,3/6/2024 15:51,3/6/2024 (Wednesday),Weekday,15:51:17,Afternoon,905,442,191,4279,2383,50.37,65,Senior Adults
Facebook,Video,Throw effort off morning hear wife generation.,3/6/2024 15:46,3/6/2024 (Wednesday),Weekday,15:46:35,Afternoon,439,219,161,6066,3416,100.81,24,Adolescent Adults
Twitter,Link,Play person success its share.,3/6/2024 15:45,3/6/2024 (Wednesday),Weekday,15:45:25,Afternoon,422,89,148,5709,3512,28.69,65,Senior Adults
Instagram,Link,Worry choose ball nature.,3/6/2024 15:35,3/6/2024 (Wednesday),Weekday,15:35:09,Afternoon,802,388,73,7256,4930,51.1,29,Adolescent Adults
LinkedIn,Video,Firm thousand current be late rule.,3/6/2024 15:20,3/6/2024 (Wednesday),Weekday,15:20:58,Afternoon,712,299,88,3366,1134,51.68,19,Adolescent Adults
Facebook,Video,Republican upon standard later.,3/6/2024 15:18,3/6/2024 (Wednesday),Weekday,15:18:05,Afternoon,70,444,23,4951,1673,18.65,38,Mature Adults
Facebook,Video,Throughout knowledge black need develop people.,3/6/2024 14:47,3/6/2024 (Wednesday),Weekday,14:47:37,Afternoon,979,0,36,9316,4484,16.48,46,Senior Adults
Twitter,Link,Particularly receive believe ago serious one.,3/6/2024 14:25,3/6/2024 (Wednesday),Weekday,14:25:00,Afternoon,693,133,143,8575,1924,20.96,34,Mature Adults
Twitter,Video,Step interview plan young.,3/6/2024 13:36,3/6/2024 (Wednesday),Weekday,13:36:21,Afternoon,503,396,108,6257,1733,58.14,63,Senior Adults
Twitter,Link,Popular make left him least.,3/6/2024 13:33,3/6/2024 (Wednesday),Weekday,13:33:28,Afternoon,890,210,129,6626,840,6.34,23,Adolescent Adults
Twitter,Link,Democratic cold food bit author no help.,3/6/2024 13:26,3/6/2024 (Wednesday),Weekday,13:26:41,Afternoon,783,402,163,6770,3646,10.53,40,Mature Adults
Twitter,Image,Responsibility that decide address.,3/6/2024 13:15,3/6/2024 (Wednesday),Weekday,13:15:34,Afternoon,449,500,81,5616,813,36.01,35,Mature Adults
LinkedIn,Video,To doctor strategy employee activity soldier decide read.,3/6/2024 13:08,3/6/2024 (Wednesday),Weekday,13:08:32,Afternoon,913,453,73,4756,3843,48.46,45,Mature Adults
LinkedIn,Video,Turn thank little none material price.,3/6/2024 13:05,3/6/2024 (Wednesday),Weekday,13:05:20,Afternoon,145,245,134,6599,2068,49.23,35,Mature Adults
Facebook,Video,Activity me less reveal number.,3/6/2024 12:46,3/6/2024 (Wednesday),Weekday,12:46:48,Afternoon,733,404,109,6972,1250,16.41,44,Mature Adults
Instagram,Link,Population still man near protect.,3/6/2024 12:43,3/6/2024 (Wednesday),Weekday,12:43:13,Afternoon,185,380,194,8127,3738,40.64,32,Mature Adults
Facebook,Link,So month audience response develop campaign.,3/6/2024 12:38,3/6/2024 (Wednesday),Weekday,12:38:49,Afternoon,364,470,166,1922,1534,32.39,20,Adolescent Adults
LinkedIn,Image,Lot fact interesting pretty same left play.,3/6/2024 12:03,3/6/2024 (Wednesday),Weekday,12:03:18,Afternoon,879,473,37,7418,3728,20.67,54,Senior Adults
Instagram,Link,Performance attention expect world person.,3/6/2024 11:31,3/6/2024 (Wednesday),Weekday,11:31:29,Morning,200,169,182,4780,2964,25.69,52,Senior Adults
Facebook,Image,Floor special matter material difference.,3/6/2024 11:25,3/6/2024 (Wednesday),Weekday,11:25:50,Morning,373,443,104,6490,4736,65.53,54,Senior Adults
LinkedIn,Video,Resource when shake mention.,3/6/2024 10:00,3/6/2024 (Wednesday),Weekday,10:00:31,Morning,752,83,109,9316,4399,20.14,42,Mature Adults
Instagram,Image,Data summer vote.,3/6/2024 9:51,3/6/2024 (Wednesday),Weekday,9:51:48,Morning,572,334,195,3846,2049,22.58,64,Senior Adults
LinkedIn,Video,Ability cover least international.,3/6/2024 9:12,3/6/2024 (Wednesday),Weekday,9:12:43,Morning,24,243,100,2160,1083,49.98,65,Senior Adults
Facebook,Video,Business can eight when arrive scene many.,3/6/2024 9:03,3/6/2024 (Wednesday),Weekday,9:03:03,Morning,482,92,60,3062,775,37.85,21,Adolescent Adults
Twitter,Video,Lose me window speak key add hospital maybe.,3/6/2024 8:50,3/6/2024 (Wednesday),Weekday,8:50:34,Morning,175,452,45,3885,3124,176.23,39,Mature Adults
Facebook,Image,Me someone position spend agreement toward fish.,3/6/2024 8:49,3/6/2024 (Wednesday),Weekday,8:49:01,Morning,181,249,153,8811,677,56.76,42,Mature Adults
Facebook,Video,Up east much today team degree investment.,3/6/2024 8:01,3/6/2024 (Wednesday),Weekday,8:01:08,Morning,475,289,14,5957,2203,20.51,24,Adolescent Adults
Twitter,Link,Food have white trade.,3/6/2024 7:33,3/6/2024 (Wednesday),Weekday,7:33:11,Morning,630,288,0,4669,3104,61.22,41,Mature Adults
Facebook,Video,Nature leave year plan specific long machine.,3/6/2024 6:36,3/6/2024 (Wednesday),Weekday,6:36:03,Morning,485,424,192,4940,555,15.77,30,Adolescent Adults
LinkedIn,Image,Teach about nation head.,3/6/2024 6:22,3/6/2024 (Wednesday),Weekday,6:22:04,Morning,611,293,64,2265,1735,17.7,30,Adolescent Adults
LinkedIn,Video,Others most able themselves and bed model.,3/6/2024 6:10,3/6/2024 (Wednesday),Weekday,6:10:39,Morning,854,291,90,8646,1944,93.22,65,Senior Adults
LinkedIn,Image,First memory you.,3/6/2024 6:10,3/6/2024 (Wednesday),Weekday,6:10:14,Morning,834,29,45,6522,1892,44.29,55,Senior Adults
Twitter,Link,Type professor test agreement why physical.,3/6/2024 6:08,3/6/2024 (Wednesday),Weekday,6:08:00,Morning,910,418,80,7300,4039,23.63,61,Senior Adults
Twitter,Image,Less high wall unit.,3/6/2024 5:48,3/6/2024 (Wednesday),Weekday,5:48:29,Night,962,367,32,8841,4635,114.97,24,Adolescent Adults
Facebook,Video,Relate spend street blue staff exist nature.,3/6/2024 5:34,3/6/2024 (Wednesday),Weekday,5:34:13,Night,641,111,180,8339,724,11.22,28,Adolescent Adults
Instagram,Video,Argue rest conference.,3/6/2024 5:28,3/6/2024 (Wednesday),Weekday,5:28:34,Night,79,124,154,2509,559,115.47,46,Senior Adults
LinkedIn,Link,Might community start ago.,3/6/2024 4:59,3/6/2024 (Wednesday),Weekday,4:59:36,Night,861,438,29,2756,1207,36.19,53,Senior Adults
Facebook,Link,Wait yourself cell memory high.,3/6/2024 4:54,3/6/2024 (Wednesday),Weekday,4:54:20,Night,468,294,74,6206,1220,157.01,62,Senior Adults
Instagram,Video,Two charge middle environmental.,3/6/2024 4:48,3/6/2024 (Wednesday),Weekday,4:48:23,Night,997,302,32,4432,4416,64.99,62,Senior Adults
LinkedIn,Video,Up likely and near set stage recent staff.,3/6/2024 4:41,3/6/2024 (Wednesday),Weekday,4:41:23,Night,716,297,33,5702,2289,21.43,54,Senior Adults
